iter	Passed	Remaining
0	152	151851
1	152	76297
2	153	51060
3	154	38413
4	155	30845
5	155	25793
6	156	22170
7	156	19452
8	157	17344
9	158	15685
10	159	14351
11	160	13223
12	161	12261
13	162	11423
14	162	10694
15	165	10159
16	170	9866
17	172	9431
18	174	9000
19	175	8615
20	177	8262
21	178	7924
22	179	7618
23	180	7338
24	181	7070
25	182	6827
26	183	6606
27	184	6410
28	185	6216
29	186	6033
30	187	5866
31	188	5710
32	189	5561
33	190	5418
34	191	5276
35	192	5151
36	193	5031
37	194	4914
38	194	4801
39	195	4692
40	196	4589
41	196	4492
42	197	4398
43	198	4307
44	198	4219
45	199	4135
46	199	4055
47	200	3978
48	201	3904
49	201	3833
50	202	3765
51	202	3699
52	203	3636
53	204	3576
54	204	3517
55	205	3459
56	205	3405
57	206	3352
58	207	3306
59	208	3261
60	208	3216
61	210	3181
62	211	3142
63	212	3109
64	213	3073
65	214	3034
66	215	2996
67	215	2954
68	216	2917
69	216	2880
70	217	2846
71	218	2814
72	219	2784
73	220	2756
74	221	2728
75	222	2699
76	223	2673
77	223	2644
78	224	2616
79	225	2590
80	225	2563
81	226	2538
82	227	2512
83	228	2486
84	228	2458
85	229	2433
86	229	2408
87	230	2385
88	230	2361
89	231	2339
90	231	2317
91	232	2295
92	233	2274
93	233	2252
94	234	2231
95	234	2212
96	235	2192
97	236	2173
98	236	2154
99	237	2136
100	238	2119
101	238	2099
102	239	2082
103	239	2065
104	240	2048
105	241	2033
106	241	2017
107	242	2001
108	243	1986
109	243	1971
110	244	1955
111	244	1940
112	245	1926
113	245	1911
114	246	1897
115	247	1882
116	247	1868
117	248	1855
118	248	1840
119	249	1827
120	249	1814
121	250	1801
122	250	1787
123	251	1774
124	251	1762
125	252	1750
126	253	1740
127	253	1727
128	254	1717
129	254	1706
130	255	1695
131	256	1685
132	256	1674
133	257	1663
134	258	1653
135	258	1643
136	259	1632
137	259	1622
138	260	1612
139	260	1602
140	261	1592
141	261	1582
142	262	1573
143	263	1563
144	263	1554
145	264	1545
146	264	1536
147	265	1527
148	265	1518
149	266	1509
150	267	1501
151	267	1493
152	268	1485
153	269	1478
154	269	1471
155	270	1463
156	271	1455
157	271	1448
158	272	1440
159	272	1433
160	273	1425
161	274	1418
162	274	1410
