iter	Passed	Remaining
0	156	156670
1	158	79124
2	165	54876
3	167	41767
4	170	33935
5	172	28578
6	173	24661
7	175	21704
8	176	19393
9	177	17543
10	178	16019
11	178	14732
12	179	13641
13	180	12703
14	181	11887
15	181	11174
16	182	10543
17	183	10003
18	184	9510
19	184	9062
20	185	8661
21	186	8289
22	187	7948
23	187	7639
24	188	7352
25	189	7089
26	189	6844
27	190	6615
28	191	6403
29	191	6206
30	192	6020
31	193	5847
32	194	5686
33	194	5532
34	195	5386
35	196	5248
36	196	5119
37	197	5005
38	198	4897
39	199	4788
40	200	4686
41	201	4585
42	201	4489
43	202	4398
44	203	4310
45	203	4224
46	204	4142
47	204	4063
48	205	3988
49	206	3918
50	206	3849
51	207	3782
52	208	3718
53	208	3655
54	209	3595
55	209	3537
56	210	3481
57	211	3427
58	211	3380
59	212	3336
60	213	3293
61	214	3248
62	215	3205
63	216	3162
64	216	3120
65	217	3082
66	218	3042
67	219	3003
68	219	2965
69	220	2927
70	221	2891
71	221	2856
72	222	2821
73	222	2788
74	223	2755
75	224	2724
76	224	2693
77	225	2663
78	225	2633
79	226	2609
80	228	2589
81	229	2565
82	229	2535
83	230	2510
84	230	2485
85	231	2460
86	232	2437
87	233	2415
88	233	2392
89	234	2369
90	234	2346
91	235	2324
92	236	2303
93	236	2281
94	237	2261
95	238	2241
96	238	2221
97	239	2201
98	239	2182
99	240	2163
100	240	2145
101	242	2130
102	242	2115
103	243	2099
104	244	2082
105	244	2066
106	245	2049
107	246	2034
108	246	2019
109	247	2003
110	248	1988
111	248	1973
112	249	1958
113	250	1943
114	250	1929
115	251	1915
116	251	1900
117	252	1886
118	253	1873
119	253	1859
120	254	1846
121	254	1832
122	255	1820
123	255	1807
124	256	1795
125	257	1784
126	258	1774
127	258	1763
128	259	1754
129	263	1760
130	268	1780
131	270	1777
132	272	1777
133	274	1772
134	275	1767
135	276	1758
136	277	1750
137	278	1741
138	279	1733
139	280	1723
140	281	1713
141	281	1702
142	282	1692
143	283	1682
144	283	1672
145	284	1662
146	284	1652
147	285	1643
148	286	1633
149	287	1626
150	287	1619
151	288	1610
152	289	1602
153	290	1593
154	290	1585
155	291	1577
156	292	1569
157	292	1560
158	293	1552
159	294	1544
160	294	1534
161	295	1526
162	295	1518
163	296	1510
164	296	1502
165	297	1494
166	298	1486
167	298	1478
168	299	1471
169	299	1463
170	300	1456
171	301	1449
172	302	1444
173	302	1438
174	303	1431
175	304	1425
176	305	1418
177	305	1411
178	306	1405
179	307	1399
180	307	1392
181	308	1386
182	309	1379
183	309	1373
184	310	1367
185	310	1361
186	311	1355
187	312	1349
188	313	1343
189	313	1337
190	314	1331
191	315	1325
192	315	1319
193	316	1315
194	317	1310
195	318	1304
196	318	1298
197	319	1293
198	320	1288
199	320	1283
200	321	1279
201	322	1275
202	323	1270
203	324	1265
204	325	1260
205	325	1255
206	326	1250
207	327	1245
208	327	1239
209	328	1234
210	328	1229
211	329	1224
212	330	1219
213	330	1214
214	331	1211
215	332	1207
216	333	1203
217	334	1198
218	334	1193
219	335	1188
220	336	1185
221	336	1180
222	337	1176
223	338	1171
224	338	1167
225	339	1162
226	340	1158
227	340	1153
228	341	1149
229	341	1144
230	342	1140
231	343	1135
232	343	1131
233	344	1127
234	344	1122
235	345	1118
236	346	1115
237	347	1111
238	347	1107
239	348	1104
240	349	1100
